"287","William Carey Christian School","5.5 %","80","456","25","b'Non-government'","b'Metro'"
"288","Shellharbour Anglican College","5.4 %","46","259","14","b'Non-government'","b'Metro'"
"289","Camden Haven High School","5.4 %","55","355","19","b'Government'","b'Country'"
"289","Hennessy Catholic College","5.4 %","72","449","24","b'Non-government'","b'Country'"
"291","Xavier College (Llandilo)","5.3 %","110","602","32","b'Non-government'","b'Metro'"
"292","Australian Islamic College of Sydney","5.3 %","55","284","15","b'Non-government'","b'Metro'"
"293","Broughton Anglican College","5.2 %","73","402","21","b'Government'","b'Metro'"
"293","St Francis Xavier's College","5.2 %","380","2166","113","b'Non-government'","b'Metro'"
"295","Maitland Grossmann High School","5.2 %","139","768","40","b'Government'","b'Metro'"
"296","Armidale High School","5.2 %","67","366","19","b'Govt. selective'","b'Country'"
"297","Bede Polding College","5.2 %","104","618","32","b'Non-government'","b'Metro'"
"298","Bossley Park High School","5.2 %","185","1063","55","b'Government'","b'Metro'"
"298","Picnic Point High School","5.2 %","104","561","29","b'Government'","b'Metro'"
"300","Kellyville High School","5.2 %","126","680","35","b'Government'","b'Metro'"
"301","Byron Bay High School","5.1 %","91","486","25","b'Government'","b'Country'"
"302","Wollondilly Anglican College","5.1 %","46","234","12","b'Non-government'","b'Metro'"
"303","St Joseph's College (Banora Pt)","5.1 %","82","510","26","b'Non-government'","b'Metro'"
"304","St Gregory's College Campbelltown","5.1 %","113","669","34","b'Non-government'","b'Metro'"
"305","Randwick Girls High School","5.1 %","130","712","36","b'Government'","b'Metro'"
"306","Kogarah High School","5.0 %","132","717","36","b'Government'","b'Metro'"
"307","Willyama High School","5.0 %","28","181","9","b'Government'","b'Country'"
"308","Cecil Hills High School","5.0 %","159","849","42","b'Government'","b'Metro'"
"309","Georges River College Oatley Senior Campus","4.9 %","371","1925","95","b'Government'","b'Metro'"
"310","Westfields Sports High School","4.9 %","191","997","49","b'Government'","b'Metro'"
"311","Rouse Hill Anglican College","4.9 %","90","473","23","b'Non-government'","b'Metro'"
"312","Corowa High School","4.8 %","45","292","14","b'Government'","b'Country'"
"313","Narooma High School","4.7 %","43","232","11","b'Government'","b'Country'"
"313","St Paul's Catholic College (Greystanes)","4.7 %","99","633","30","b'Non-government'","b'Metro'"
"315","Cabramatta High School","4.6 %","192","1040","48","b'Government'","b'Metro'"
"316","Elderslie High School","4.6 %","89","499","23","b'Government'","b'Metro'"
"317","Lindisfarne Anglican Grammar School","4.6 %","91","503","23","b'Non-government'","b'Metro'"
"318","All Saints Catholic Senior College","4.6 %","190","1097","50","b'Non-government'","b'Metro'"
"319","Kingsgrove High School","4.5 %","107","597","27","b'Government'","b'Metro'"
"320","Carinya Christian School Tamworth","4.5 %","47","222","10","b'Non-government'","b'Country'"
"321","Blacktown Girls High School","4.5 %","75","382","17","b'Govt. selective'","b'Metro'"
"321","Wagga Wagga High School","4.5 %","108","539","24","b'Government'","b'Country'"
"323","Magdalene Catholic High School","4.4 %","120","704","31","b'Non-government'","b'Metro'"
"324","Erina High School","4.4 %","61","387","17","b'Government'","b'Country'"
"325","St Mary's Catholic College","4.4 %","35","229","10","b'Non-government'","b'\xc2\xa0'"
"326","Avondale School","4.3 %","78","392","17","b'Non-government'","b'Metro'"
"327","Coffs Harbour Christian Community School","4.3 %","50","254","11","b'\xc2\xa0'","b'\xc2\xa0'"
"327","Kincumber High School","4.3 %","92","508","22","b'Government'","b'Country'"
"329","Blacktown Boys High School","4.3 %","43","209","9","b'Government'","b'Metro'"
"330","Mackillop Catholic College (Warnervale)","4.3 %","123","770","33","b'Non-government'","b'Metro'"
"331","St Peter's Catholic College","4.3 %","131","773","33","b'Non-government'","b'Metro'"
"332","Glen Innes High School","4.3 %","35","235","10","b'Government'","b'Country'"
"332","Sydney Distance Education High School","4.3 %","64","611","26","b'Government'","b'Metro'"
"334","Central Coast Adventist School","4.2 %","49","285","12","b'Non-government'","b'Metro'"
"335","St John Paul II Catholic College (Schofields)","4.2 %","140","814","34","b'Non-government'","b'Metro'"
"336","Kotara High School","4.2 %","121","672","28","b'Government'","b'Metro'"
"337","Northmead Creative and Performing Arts High School","4.1 %","122","640","26","b'Government'","b'Metro'"
"338","Narara Valley High School","4.1 %","106","592","24","b'Government'","b'Country'"
"339","Kiama High School","4.0 %","151","744","30","b'Government'","b'Country'"
"340","Rouse Hill High School","4.0 %","106","548","22","b'Government'","b'Metro'"
"341","Keira High School","4.0 %","96","551","22","b'Government'","b'Metro'"
"342","Casimir Catholic College","4.0 %","85","478","19","b'Non-government'","b'\xc2\xa0'"
"342","Holy Cross College (Ryde)","4.0 %","48","277","11","b'Non-government'","b'Metro'"
"344","The Riverina Anglican College","4.0 %","86","480","19","b'Non-government'","b'Country'"
"345","Nowra Anglican College","3.9 %","64","355","14","b'Non-government'","b'Country'"
"346","Tyndale Christian School","3.9 %","51","280","11","b'Non-government'","b'Metro'"
"347","Bankstown Senior College","3.9 %","55","255","10","b'Government'","b'Metro'"
"347","Moruya High School","3.9 %","47","255","10","b'Government'","b'Country'"
"349","Bellingen High School","3.9 %","51","282","11","b'Government'","b'Country'"
"350","St Johns Park High School","3.9 %","129","695","27","b'Government'","b'Metro'"
"351","St Paul's High School","3.9 %","80","467","18","b'Non-government'","b'Metro'"
"352","All Saints College (Maitland)","3.8 %","238","1416","54","b'Non-government'","b'Metro'"
